Date,Sensex,Nifty
17-04-2025,"78,553.20","23,851.65"
16-04-2025,"77,044.29","23,437.20"
15-04-2025,"76,734.89","23,328.55"
11/4/2025,"75,157.26","22,828.55"
9/4/2025,"73,847.15","22,399.15"
8/4/2025,"74,227.08","22,535.85"
7/4/2025,"73,137.90","22,161.60"
4/4/2025,"75,364.69","22,904.45"
3/4/2025,"76,295.36","23,250.10"
2/4/2025,"76,617.44","23,332.35"
1/4/2025,"76,024.51","23,165.70"
28-03-2025,"77,414.92","23,519.35"
27-03-2025,"77,606.43","23,591.95"
26-03-2025,"77,288.50","23,486.85"
25-03-2025,"78,017.19","23,668.65"
24-03-2025,"77,984.38","23,658.35"
21-03-2025,"76,905.51","23,350.40"
20-03-2025,"76,348.06","23,190.65"
19-03-2025,"75,449.05","22,907.60"
18-03-2025,"75,301.26","22,834.30"
17-03-2025,"74,169.95","22,508.75"
13-03-2025,"73,828.91","22,397.20"
12/3/2025,"74,029.76","22,470.50"
11/3/2025,"74,102.32","22,497.90"
10/3/2025,"74,115.17","22,460.30"
7/3/2025,"74,332.58","22,552.50"
6/3/2025,"74,340.09","22,544.70"
5/3/2025,"73,730.23","22,337.30"
4/3/2025,"72,989.93","22,082.65"
3/3/2025,"73,085.94","22,119.30"
28-02-2025,"73,198.10","22,124.70"
27-02-2025,"74,612.43","22,545.05"
25-02-2025,"74,602.12","22,547.55"
24-02-2025,"74,454.41","22,553.35"
21-02-2025,"75,311.06","22,795.90"
20-02-2025,"75,735.96","22,913.15"
19-02-2025,"75,939.18","22,932.90"
18-02-2025,"75,967.39","22,945.30"
17-02-2025,"75,996.86","22,959.50"
14-02-2025,"75,939.21","22,929.25"
13-02-2025,"76,138.97","23,031.40"
12/2/2025,"76,171.08","23,045.25"
11/2/2025,"76,293.60","23,071.80"
10/2/2025,"77,311.80","23,381.60"
7/2/2025,"77,860.19","23,559.95"
6/2/2025,"78,058.16","23,603.35"
5/2/2025,"78,271.28","23,696.30"
4/2/2025,"78,583.81","23,739.25"
3/2/2025,"77,186.74","23,361.05"
1/2/2025,"77,505.96","23,482.15"
31-01-2025,"77,500.57","23,508.40"
30-01-2025,"76,759.81","23,249.50"
29-01-2025,"76,532.96","23,163.10"
28-01-2025,"75,901.41","22,957.25"
27-01-2025,"75,366.17","22,829.15"
24-01-2025,"76,190.46","23,092.20"
23-01-2025,"76,520.38","23,205.35"
22-01-2025,"76,404.99","23,155.35"
21-01-2025,"75,838.36","23,024.65"
20-01-2025,"77,073.44","23,344.75"
17-01-2025,"76,619.33","23,203.20"
16-01-2025,"77,042.82","23,311.80"
15-01-2025,"76,724.08","23,213.20"
14-01-2025,"76,499.63","23,176.05"
13-01-2025,"76,330.01","23,085.95"
10/1/2025,"77,378.91","23,431.50"
9/1/2025,"77,620.21","23,526.50"
8/1/2025,"78,148.49","23,688.95"
7/1/2025,"78,199.11","23,707.90"
6/1/2025,"77,964.99","23,616.05"
3/1/2025,"79,223.11","24,004.75"
2/1/2025,"79,943.71","24,188.65"
1/1/2025,"78,507.41","23,742.90"
31-12-2024,"78,139.01","23,644.80"
30-12-2024,"78,248.13","23,644.90"
27-12-2024,"78,699.07","23,813.40"
26-12-2024,"78,472.48","23,750.20"
24-12-2024,"78,472.87","23,727.65"
23-12-2024,"78,540.17","23,753.45"
20-12-2024,"78,041.59","23,587.50"
19-12-2024,"79,218.05","23,951.70"
18-12-2024,"80,182.20","24,198.85"
17-12-2024,"80,684.45","24,336.00"
16-12-2024,"81,748.57","24,668.25"
13-12-2024,"82,133.12","24,768.30"
12/12/2024,"81,289.96","24,548.70"
11/12/2024,"81,526.14","24,641.80"
10/12/2024,"81,510.05","24,610.05"
9/12/2024,"81,508.46","24,619.00"
6/12/2024,"81,709.12","24,677.80"
5/12/2024,"81,765.86","24,708.40"
4/12/2024,"80,956.33","24,467.45"
3/12/2024,"80,845.75","24,457.15"
2/12/2024,"80,248.08","24,276.05"
29-11-2024,"79,802.79","24,131.10"
28-11-2024,"79,043.74","23,914.15"
27-11-2024,"80,234.08","24,274.90"
26-11-2024,"80,004.06","24,194.50"
25-11-2024,"80,109.85","24,221.90"
22-11-2024,"79,117.11","23,907.25"
21-11-2024,"77,155.79","23,349.90"
19-11-2024,"77,578.38","23,518.50"
18-11-2024,"77,339.01","23,453.80"
14-11-2024,"77,580.31","23,532.70"
13-11-2024,"77,690.95","23,559.05"
12/11/2024,"78,675.18","23,883.45"
11/11/2024,"79,496.15","24,141.30"
8/11/2024,"79,486.32","24,148.20"
7/11/2024,"79,541.79","24,199.35"
6/11/2024,"80,378.13","24,484.05"
5/11/2024,"79,476.63","24,213.30"
4/11/2024,"78,782.24","23,995.35"
1/11/2024,"79,724.12","24,304.35"
31-10-2024,"79,389.06","24,205.35"
30-10-2024,"79,942.18","24,340.85"
29-10-2024,"80,369.03","24,466.85"
28-10-2024,"80,005.04","24,339.15"
25-10-2024,"79,402.29","24,180.80"
24-10-2024,"80,065.16","24,399.40"
23-10-2024,"80,081.98","24,435.50"
22-10-2024,"80,220.72","24,472.10"
21-10-2024,"81,151.27","24,781.10"
18-10-2024,"81,224.75","24,854.05"
17-10-2024,"81,006.61","24,749.85"
16-10-2024,"81,501.36","24,971.30"
15-10-2024,"81,820.12","25,057.35"
14-10-2024,"81,973.05","25,127.95"
11/10/2024,"81,381.36","24,964.25"
10/10/2024,"81,611.41","24,998.45"
9/10/2024,"81,467.10","24,981.95"
8/10/2024,"81,634.81","25,013.15"
7/10/2024,"81,050.00","24,795.75"
4/10/2024,"81,688.45","25,014.60"
3/10/2024,"82,497.10","25,250.10"
1/10/2024,"84,266.29","25,796.90"
30-09-2024,"84,299.78","25,810.85"
27-09-2024,"85,571.85","26,178.95"
26-09-2024,"85,836.12","26,216.05"
25-09-2024,"85,169.87","26,004.15"
24-09-2024,"84,914.04","25,940.40"
23-09-2024,"84,928.61","25,939.05"
20-09-2024,"84,544.31","25,790.95"
19-09-2024,"83,184.80","25,415.80"
18-09-2024,"82,948.23","25,377.55"
17-09-2024,"83,079.66","25,418.55"
16-09-2024,"82,988.78","25,383.75"
13-09-2024,"82,890.94","25,356.50"
12/9/2024,"82,962.71","25,388.90"
11/9/2024,"81,523.16","24,918.45"
